subject,author,like,link,genre,rating,subscribe,episode,upload,present,avg_like
ความลับของนางฟ้า,เหมียว,5200000.0,https://www.webtoons.com/th/romance/goddess/list?title_no=1380,โรแมนซ์,9.77,2200000.0,161.0,วันอังคาร,ยังไม่จบ,32298.14
การแต่งงานครั้งใหม่ของจักรพรรดินี,อัลฟาทาร์ต / ซุมพุล,1700000.0,https://www.webtoons.com/th/romantic-fantasy/remarried-queen/list?title_no=1799,โรแมนซ์แฟนตาซี,9.88,636700.0,79.0,วันเสาร์,ยังไม่จบ,21518.99
เมื่อฉันต้องไปอยู่โรงเรียนชายล้วน,Caramel_Kung,77902.0,https://www.webtoons.com/th/romance/boys-highschool/list?title_no=2651,โรแมนซ์,9.84,159800.0,7.0,วันพุธ,ยังไม่จบ,11128.86
เสือดำขย้ำหัวใจ,ยอซึลกี / Teava,241523.0,https://www.webtoons.com/th/romantic-fantasy/i-raised-a-beast/list?title_no=2452,โรแมนซ์แฟนตาซี,9.93,262300.0,15.0,วันอังคาร,ยังไม่จบ,16101.53
ตื่นมาอีกทีก็มีพระเอกนอนอยู่ข้างๆ ?!,MSG / Teava,651763.0,https://www.webtoons.com/th/romantic-fantasy/firstnight/list?title_no=2130,โรแมนซ์แฟนตาซี,9.84,327100.0,40.0,วันอาทิตย์,ยังไม่จบ,16294.08
หนีรักจักรพรรดิบ้าเลือด,รยูรัน / SF_JD,156536.0,https://www.webtoons.com/th/romantic-fantasy/tyrants-baby/list?title_no=2332,โรแมนซ์แฟนตาซี,9.84,207700.0,13.0,วันจันทร์,ยังไม่จบ,12041.23
Summer Night ความลับในคืนฤดูร้อน,Boran / Jormungand,2000000.0,https://www.webtoons.com/th/romance/summer-night/list?title_no=1309,โรแมนซ์,9.75,669400.0,167.0,วันเสาร์,ยังไม่จบ,11976.05
รักลับๆ ของฉันกับศาสตราจารย์จอมเฮี้ยบ,อูยาเสี่ยวอี้ / ลีลีกวาลี,362398.0,https://www.webtoons.com/th/romance/me-and-my-professor/list?title_no=2170,โรแมนซ์,9.62,347600.0,35.0,วันเสาร์,ยังไม่จบ,10354.23
ชาตินี้ก็ฝากด้วยนะ,ลีฮเย,419246.0,https://www.webtoons.com/th/romance/this-life/list?title_no=2112,โรแมนซ์,9.94,248100.0,34.0,วันอาทิตย์,ยังไม่จบ,12330.76
คุณหนูครับ รับรักผมที,ซอกอู,75693.0,https://www.webtoons.com/th/romance/clueless-girl/list?title_no=2568,โรแมนซ์,9.84,159600.0,9.0,วันอาทิตย์,ยังไม่จบ,8410.33
ช่วยด้วย ผมโดนเธอคุมหัวใจ,Xuann,29950.0,https://www.webtoons.com/th/romance/do-as-i-say/list?title_no=2685,โรแมนซ์,9.85,93700.0,5.0,วันอังคาร,ยังไม่จบ,5990.0
ท่านภูตใจดีกับนกไนติงเกล,AB / 8CAT,23840.0,https://www.webtoons.com/th/romantic-fantasy/gentle-goblins-bird/list?title_no=2687,โรแมนซ์แฟนตาซี,9.87,98100.0,4.0,วันเสาร์,ยังไม่จบ,5960.0
Take My Money รักนี้...มีเปย์,AlohaDRY,1500000.0,https://www.webtoons.com/th/romance/take-my-money/list?title_no=1670,โรแมนซ์,9.85,644300.0,95.0,วันพฤหัสบดี,ยังไม่จบ,15789.47
บันทึกรักของแม่มดกับนายมังกร,Dimang / New lung,269455.0,https://www.webtoons.com/th/romantic-fantasy/witchs-wedding-diary/list?title_no=2353,โรแมนซ์แฟนตาซี,9.83,258899.99999999997,25.0,วันพุธ,ยังไม่จบ,10778.2
รังรักจักรพรรดินี,เฮียรี / ยองบิน,184219.0,https://www.webtoons.com/th/romantic-fantasy/men-of-harem/list?title_no=2437,โรแมนซ์แฟนตาซี,9.86,181500.0,18.0,วันพฤหัสบดี,ยังไม่จบ,10234.39
ชีวิตมหา’ลัยที่ฝันไว้..มันต้องไม่ใช่แบบนี้สิ!,Kai2536,677255.0,https://www.webtoons.com/th/romance/campus/list?title_no=1766,โรแมนซ์,9.88,316400.0,61.0,วันจันทร์,ยังไม่จบ,11102.54
ฉันเป็นเพื่อนสาวของพระเอก,คาคน / รยูฮีอน,381155.0,https://www.webtoons.com/th/romantic-fantasy/im-the-girl-friend/list?title_no=2237,โรแมนซ์แฟนตาซี,9.76,301800.0,34.0,วันจันทร์,ยังไม่จบ,11210.44
เจ้าหญิงผมดำกับเจ้าชายผมแดง,Ellianyang / Pang-e,536303.0,https://www.webtoons.com/th/romantic-fantasy/royal-princess/list?title_no=2103,โรแมนซ์แฟนตาซี,9.81,272500.0,47.0,วันจันทร์,ยังไม่จบ,11410.7
ฉันจะแต่งงานกับฝ่าบาทเองค่ะ,คารุมก / คัลชีกุอิ,351288.0,https://www.webtoons.com/th/romantic-fantasy/i-will-marry-him-then/list?title_no=2285,โรแมนซ์แฟนตาซี,9.77,289800.0,30.0,วันศุกร์,ยังไม่จบ,11709.6
รักใสๆ หัวใจบลอสซั่ม,NEMONE / ฮงดอก,325159.0,https://www.webtoons.com/th/romance/youth-blossom/list?title_no=2214,โรแมนซ์,9.9,205900.0,35.0,วันจันทร์,ยังไม่จบ,9290.26
ปาฏิหาริย์บันได 13 ขั้น,Zenyu / จูยองฮา,13610.0,https://www.webtoons.com/th/romance/stairway-of-time/list?title_no=2686,โรแมนซ์,9.65,55100.0,4.0,วันศุกร์,ยังไม่จบ,3402.5
อย่ามาหลอกซะให้ยาก,aurum;) / yoyongSAN,243335.0,https://www.webtoons.com/th/romance/dont-fool-me/list?title_no=2292,โรแมนซ์,9.71,165800.0,29.0,วันพุธ,ยังไม่จบ,8390.86
เสี่ยงหัวใจมารักนายต้องคำสาป,แมวอ้วนถลาลม,23384.0,https://www.webtoons.com/th/romance/cursed-boy/list?title_no=2512,โรแมนซ์,9.77,67100.0,6.0,วันอาทิตย์,ยังไม่จบ,3897.33
เลดี้อิงกริด,เรดพาร์สลีย์,489171.0,https://www.webtoons.com/th/romantic-fantasy/white-deer-ingrid/list?title_no=1979,โรแมนซ์แฟนตาซี,9.44,225700.0,58.0,วันเสาร์,ยังไม่จบ,8433.98
Love Lock...ไขหัวใจนายวายร้าย ,clevercool,661123.0,https://www.webtoons.com/th/romance/teshulianren/list?title_no=1775,โรแมนซ์,9.82,351300.0,70.0,วันจันทร์,ยังไม่จบ,9444.61
เพราะฉันไม่ใช่นางเอก,คีแมงกิ,634572.0,https://www.webtoons.com/th/drama/heroine-disqualified/list?title_no=1888,ดราม่า,9.69,363300.0,66.0,วันศุกร์,ยังไม่จบ,9614.73
ราวลมพัดกิ่งไม้แห้ง,ดัลแซอุล / ฮวาอึม,207388.0,https://www.webtoons.com/th/romantic-fantasy/cursed-blessing/list?title_no=2330,โรแมนซ์แฟนตาซี,9.89,145200.0,28.0,วันพฤหัสบดี,ยังไม่จบ,7406.71
เมื่อสามีจอมบงการของฉันเปลี่ยนไป,ลันเทเชียส / ชังบี,248935.0,https://www.webtoons.com/th/romantic-fantasy/tyrant-husband/list?title_no=2336,โรแมนซ์แฟนตาซี,9.7,244500.0,27.0,วันพุธ,ยังไม่จบ,9219.81
ถูกใจนายติดอ่างที่รัก,แผ่นทองสีดำ,115657.0,https://www.webtoons.com/th/bl-gl/my-stuttering-sweetheart/list?title_no=2389,วาย,9.83,79800.0,17.0,วันจันทร์,ยังไม่จบ,6803.35
มงกุฎเงา,ชานก / แฮวี,139764.0,https://www.webtoons.com/th/bl-gl/shadow-crown/list?title_no=2434,วาย,9.65,140400.0,19.0,วันจันทร์,ยังไม่จบ,7356.0
ชั่วโมงที่ 25,VICMON,15055.0,https://www.webtoons.com/th/romance/25th-hour/list?title_no=2513,โรแมนซ์,9.53,48300.0,5.0,วันเสาร์,ยังไม่จบ,3011.0
Buddy Marry ไม่ใช่เธอไม่แต่งหรอกนะ!,หันหรร,3600000.0,https://www.webtoons.com/th/romance/buddy-marry/list?title_no=511,โรแมนซ์,9.78,1000000.0,253.0,วันพฤหัสบดี,ยังไม่จบ,14229.25
สาวน้อย180,นาอูวอน / เดลล่า,490071.0,https://www.webtoons.com/th/drama/girl-180/list?title_no=2047,ดราม่า,9.82,252600.0,53.0,วันอังคาร,ยังไม่จบ,9246.62
ตัวร้ายสุดที่รัก,Myoung rang / Zetson,1000000.0,https://www.webtoons.com/th/romantic-fantasy/savior/list?title_no=1800,โรแมนซ์แฟนตาซี,9.83,391300.0,85.0,วันจันทร์,ยังไม่จบ,11764.71
